Depth_cm,Age_Sh20,GDGT_ANT_GLOBAL,RMSE_min,RMSE_max,GDGT_FOSTER_2016,GDGT_Anomaly_FOSTER_2016,GDGT_ANT_GLOBAL_anomaly,RMSE_min_anomaly,RMSE_Max_anomaly,100yr_LOESS_SP,GDGT_100yr_SP,GDGT_An_100-yr_SP,age1,mean_ANT_anomaly,sd_ANT_anomaly,mean_ANT_GLOBAL_anomaly,sd_ANT_GLOBAL_anomaly,Roberts_et_al_2017_GDGT_MSAT_Temp_&_Pre_industrial_Anomaly_(1.74_C);_Pre_industrial_anomaly_is_defined_as_mean_1000_250_years_BP
0,-56,0.499003975,-1.150996025,2.149003975,-0.14643914,-1.88643914,-1.240996025,-2.890996025,0.409003975,0,0.937068071,-0.802931929,-100,1.165610053,3.455292598,0.06361955,1.499154566,
2,256.77,1.341495042,-0.308504958,2.991495042,2.159692163,0.419692163,-0.398504958,-2.048504958,1.251495042,100,1.146421561,-0.593578439,6000,1.165610053,3.455292598,0.06361955,1.499154566,
3,413.16,2.16939368,0.51939368,3.81939368,1.574564161,-0.165435839,0.42939368,-1.22060632,2.07939368,200,1.349091427,-0.390908573,,,,,,
4,569.54,1.263121132,-0.386878868,2.913121132,1.489325904,-0.250674096,-0.476878868,-2.126878868,1.173121132,300,1.552289971,-0.187710029,,,,,,
5,725.92,3.074656988,1.424656988,4.724656988,4.182715209,2.442715209,1.334656988,-0.315343012,2.984656988,400,2.164153672,0.424153672,,,,,,
6,843.74,0.453319324,-1.196680676,2.103319324,1.042129959,-0.697870041,-1.286680676,-2.936680676,0.363319324,500,1.924672652,0.184672652,,,,,,
7,961.56,1.121735553,-0.528264447,2.771735553,0.966437599,-0.773562401,-0.618264447,-2.268264447,1.031735553,600,1.948339581,0.208339581,,,,,,
8,1079.39,2.180817698,0.530817698,3.830817698,6.348283513,4.608283513,0.440817698,-1.209182302,2.090817698,700,1.928328869,0.188328869,,,,,,
9,1197.21,2.760311439,1.110311439,4.410311439,4.335961058,2.595961058,1.020311439,-0.629688561,2.670311439,800,1.979801401,0.239801401,,,,,,
10,1315.03,0.909822856,-0.740177144,2.559822856,4.368682282,2.628682282,-0.830177144,-2.480177144,0.819822856,900,2.470082941,0.730082941,,,,,,
