Depth_cm,Age_BP_Sh13,Age_BP_Sh20_min,Age_BP_Sh20_max,Age_BP_Sh20_median,Age_BP_Sh20_mean,RABD620,R850_R900,LOESS_100_age,LOESS_100_R850_R900,Predicted,Residuals,age_plot,R850_R900_mean,R850_R900_sd,Depth_0.1cm,Age_BP_Sh20_min_0.1cm,Age_BP_Sh20_max_0.1cm,Age_BP_Sh20_median_0.1cm,Age_BP_Sh20_mean_0.1cm,R850_R900_0.1cm,Depth_0.1cm,Age_BP_Sh20_min_0.5cm,Age_BP_Sh20_max_0.5cm,Age_BP_Sh20_median_0.5cm,Age_BP_Sh20_mean_0.5cm,R850_R900_0.5cm,,depth,min,max,median,mean
0,-63.3,-66.35,-60.44,-63.13,-63.2,0.9137218,0.985801411,-100,0.978067682,0.991517817,-0.005716406,0,0.967923438,0.052394934,0,-66.3,-60.61,-63.29,-63.26,0.989779626,0,-66.52,-60.56,-63.09,-63.21,0.994585988,,0,-66.35,-60.44,-63.13,-63.2
0.00686,-63.2,-66.31,-60.42,-63.09,-63.16,1.028316492,0.985560824,0,0.987844448,0.991536318,-0.005975494,12000,0.967922311,0.052396394,0.1,-65.84,-60.04,-62.82,-62.78,0.991224736,0.5,-65.03,-53.67,-60.43,-60.03,0.976417131,,0.00686,-66.31,-60.42,-63.09,-63.16
0.01372,-63.1,-66.29,-60.38,-63.05,-63.12,1.03180739,0.978356674,100,0.959964119,0.991554701,-0.013198027,,,,0.2,-65.47,-59.33,-62.3,-62.29,1.001100276,1,-64.16,-44.75,-58.08,-56.85,0.98085639,,0.01372,-66.29,-60.38,-63.05,-63.12
0.02058,-63,-66.26,-60.31,-63.01,-63.08,1.035303416,0.983865125,200,0.97281427,0.99157311,-0.007707985,,,,0.3,-65.25,-58.34,-61.87,-61.81,1.000076365,1.5,-63.51,-35.84,-55.84,-53.66,1.008178641,,0.02058,-66.26,-60.31,-63.01,-63.08
0.02744,-62.9,-66.24,-60.24,-62.98,-63.04,1.040563246,0.983061022,300,1.01982376,0.99159113,-0.008530108,,,,0.4,-65.02,-57.09,-61.43,-61.32,0.992645068,2,-63.04,-27.09,-53.38,-50.48,1.001567752,,0.02744,-66.24,-60.24,-62.98,-63.04
0.0343,-62.8,-66.21,-60.17,-62.95,-63,1.047246633,0.985462746,400,1.039814286,0.991609392,-0.006146646,,,,0.5,-64.68,-55.95,-61.04,-60.84,0.992689857,2.5,-60.83,-25.37,-50.54,-47.84,0.991022749,,0.0343,-66.21,-60.17,-62.95,-63
0.04116,-62.7,-66.19,-60.12,-62.91,-62.96,1.047017192,0.986334595,500,1.041041366,0.991627225,-0.00529263,,,,0.6,-64.51,-54.66,-60.67,-60.36,0.985024298,3,-59.42,-22.97,-47.25,-45.19,0.99522686,,0.04116,-66.19,-60.12,-62.91,-62.96
0.04802,-62.7,-66.16,-60.05,-62.86,-62.93,1.044627227,0.998619803,600,1.03781853,0.991627225,0.006992578,,,,0.7,-64.27,-53.28,-60.29,-59.87,0.977764041,3.5,-58.6,-20.98,-43.94,-42.54,1.008235246,,0.04802,-66.16,-60.05,-62.86,-62.93
0.05488,-62.6,-66.14,-60.01,-62.82,-62.89,1.035181263,1.008296638,700,1.036425041,0.991645054,0.016651584,,,,0.8,-64.17,-52.04,-59.91,-59.39,0.965878713,4,-57.56,-18.25,-40.86,-39.9,0.99287323,,0.05488,-66.14,-60.01,-62.82,-62.89
0.06174,-62.5,-66.11,-59.94,-62.79,-62.85,1.03033877,1.00545341,800,1.037443904,0.991662961,0.013790449,,,,0.9,-64.09,-50.83,-59.56,-58.9,0.960153957,4.5,-55.05,-16.75,-38.26,-37.27,1.006881104,,0.06174,-66.11,-59.94,-62.79,-62.85
