Year BP,Event Flux kg km-2
-41,20.16
-14,13.49
7,4.25
18,3.16
47,4.34
66,9.24
87,3.63
114,9.84
118,3.92
135,87.26
141,32.22
188,4.75
227,3.95
248,2.66
253,7.51
256,34.61
276,7.82
308,10.07
329,16.78
350,16.03
355,22.94
391,3.86
438,4.28
443,3.71
458,3.92
491,94.91
497,9.37
569,4.37
572,7.36
606,23.61
614,5.79
620,9
644,4.54
664,16.78
674,27.59
681,22.11
692,76.15
709,13.76
721,42.14
759,11.38
779,28.76
798,7.97
841,9.68
912,21.79
949,5.19
974,5.33
990,10.91
1021,5.04
1033,13.61
1050,10.23
1069,11.72
1090,4.41
1131,7.42
1142,4.23
1265,22.21
1268,37.22
1295,3.55
1307,4.77
1361,5.6
1375,61.17
1409,32.37
1456,20.36
1462,7.19
1516,40.24
1533,3.42
1547,4.51
1555,2.79
1569,9.07
1571,7.85
1605,8.83
1629,5.63
1646,9.17
1658,5
1684,17.8
1714,5.23
1732,5.78
1744,25
1780,23.06
1807,10.17
1829,10.89
1845,4.48
1854,8.54
1867,11.44
1919,8.02
1950,4.41
1957,8.31
1970,15.15
1997,24.19
2049,23.08
2082,4.82
2088,10.05
2121,10.52
2162,20.98
2183,4.67
2198,15.12
2256,4.56
2326,4.8
2342,20.51
2376,92.33
2419,8.22
2470,13.04
2500,4.84
2531,33.7
2625,4.57
2652,3.91
2672,21.3
2699,4.5
2711,6.83
2726,3.42
2757,3.28
2759,4.4
2770,4.26
2783,3.88
2812,7.38
2853,4.29
2898,3.15
2948,4.3
3048,7
3054,3.24
3060,3.6
3096,3.34
3106,4.18
3122,39.79
3140,6.83
3204,13.05
3230,4.44
3252,5.33
3266,4.1
3297,7.08
3311,20.62
3357,26.14
3365,11.33
3409,5.56
3423,7.27
3477,5.35
3482,5.25
3489,5.41
3500,36.97
3554,8.34
3561,16.96
3578,18.2
3606,39.96
3610,5.58
3629,5.75
3668,19.97
3696,7.31
3810,4.04
3817,23.36
3829,76.91
3863,5.06
3873,29.61
3893,9.85
3916,5.04
3925,42.64
3937,7.93
