LOESS_100_age,LOESS_100_Fcurta_F kerg
100,1.655603281
200,1.569444609
300,1.483285937
400,1.369451054
500,1.062311453
600,0.839373344
700,1.212064299
800,1.6250779
900,1.870857564
1000,2.09795368
1100,2.002796484
1200,1.066459914
1300,0.937781665
1400,0.941862095
1500,1.129942126
1600,1.347042469
1700,1.603868622
1800,1.678399952
1900,1.41199356
2000,1.26220268
2100,1.303292141
2200,1.242788516
2300,1.052181439
2400,1.045039023
2500,1.228463843
2600,1.676242586
2700,2.381423834
2800,2.275584109
2900,1.602711899
3000,1.275856665
3100,1.151610686
3200,1.048877089
3300,0.968158268
3400,1.16605716
3500,1.463187207
3600,1.417467099
3700,1.254846941
3800,1.16055242
3900,1.074657453
4000,0.886259997
4100,0.70435856
4200,0.744471263
4300,0.812411476
4400,0.793394566
4500,0.745138041
4600,0.625582719
4700,0.518046302
4800,0.48275397
4900,0.475672605
5000,0.535084613
5100,0.603397022
5200,0.683494137
5300,0.706354498
5400,0.606116196
5500,0.673294286
5600,1.067359454
5700,1.232355584
5800,0.995569353
5900,0.956839107
6000,1.203658518
6100,1.267625244
6200,1.144895054
6300,1.382218416
6400,1.936279899
6500,1.981673384
6600,1.682195337
6700,1.360480783
6800,1.037428293
6900,0.923049492
7000,0.894848017
7100,0.88261042
7200,0.875623377
7300,0.818039564
7400,0.676161484
7500,0.532986624
7600,0.443037458
7700,0.414806918
7800,0.386885194
7900,0.422561492
8000,0.508178752
8100,0.59349741
8200,0.666250401
8300,0.732367111
8400,0.805427227
8500,1.019734255
8600,1.289706056
8700,1.542960871
8800,1.571067834
8900,1.52836512
9000,1.471461171
9100,1.301117803
9200,1.106224221
9300,0.926107203
9400,0.83255529
9500,0.753087387
9600,0.705534252
9700,0.793526932
9800,0.896804538
9900,1.025571994
10000,1.23157348
