"LabID","CRA","Error","calCurves","resOffsets","resErrors","Material","Species","SiteName","Country","Longitude","Latitude","Region","Location","ID","MedianBP","OneSigma_BP_1","OneSigma_BP_2","OneSigma_BP_3","OneSigma_BP_4","OneSigma_BP_5","TwoSigma_BP_1","TwoSigma_BP_2","TwoSigma_BP_3","TwoSigma_BP_4"
"HD11417-11148",5410,185,"shcal20",0,0,"Aquatic moss","Moss","Hochlandsee","South Shetland Islands",-58.9397,-62.1822,"King George Island ","Fildes Peninsula ","Hochlandsee",6142,"6384 to 6379","6311 to 5931","NA to NA","NA to NA","NA to NA","6555 to 5724","NA to NA","NA to NA","NA to NA"
"Lu-3680",4960,120,"shcal20",0,0,"Aquatic moss","Moss","Hotel Lake","South Shetland Islands",-58.9783,-62.1946,"King George Island ","Fildes Peninsula ","Hotel Lake",5672,"5888 to 5818","5758 to 5577","5506 to 5485","NA to NA","NA to NA","5921 to 5449","5382 to 5329","NA to NA","NA to NA"
"SUERC-18932",2215,37,"shcal20",0,0,"Aquatic moss","Moss","Gaoshan Lake","South Shetland Islands",-58.9647,-62.2208,"King George Island ","Fildes Peninsula ","Gaoshan Lake",2195,"2302 to 2240","2149 to 2099","NA to NA","NA to NA","NA to NA","2327 to 2193","2182 to 2079","2073 to 2056","NA to NA"
"SUERC-18928",320,35,"shcal20",0,0,"Aquatic moss","Moss","Belén Lake","South Shetland Islands",-58.982,-62.2285,"King George Island ","Fildes Peninsula ","Belén Lake",378,"440 to 401","390 to 372","327 to 299","NA to NA","NA to NA","451 to 349","340 to 282","164 to 157","NA to NA"
"SUERC-18931",4829,38,"shcal20",0,0,"Aquatic moss","Moss","Belén Lake","South Shetland Islands",-58.982,-62.2285,"King George Island ","Fildes Peninsula ","Belén Lake",5521,"5586 to 5566","5563 to 5554","5535 to 5479","NA to NA","NA to NA","5597 to 5460","5376 to 5355","5348 to 5332","NA to NA"
"HD11163-10998",6180,150,"shcal20",0,0,"Aquatic moss","Moss","Lake Kitezh","South Shetland Islands",-58.9667,-62.1895,"King George Island ","Fildes Peninsula ","Lake Kitezh",7021,"7245 to 7209","7169 to 6851","6811 to 6803","NA to NA","NA to NA","7416 to 7392","7330 to 6666","NA to NA","NA to NA"
"SUERC-18933",2087,37,"shcal20",0,0,"Aquatic moss","Moss","Long Lake","South Shetland Islands",-58.9671,-62.205,"King George Island ","Fildes Peninsula ","Long Lake",2008,"2078 to 2076","2054 to 1993","1965 to 1932","NA to NA","NA to NA","2100 to 1921","1906 to 1895","NA to NA","NA to NA"
"SUERC-18934",907,37,"shcal20",0,0,"Aquatic moss","Moss","Yanou Lake","South Shetland Islands",-58.9599,-62.2207,"King George Island ","Fildes Peninsula ","Yanou Lake",767,"796 to 729","NA to NA","NA to NA","NA to NA","NA to NA","902 to 864","841 to 830","816 to 715","708 to 680"
"Beta-316286",1430,30,"shcal20",0,0,"Aquatic moss","Moss","Yanou Lake","South Shetland Islands",-58.9599,-62.2207,"King George Island ","Fildes Peninsula ","Yanou Lake",1297,"1311 to 1280","NA to NA","NA to NA","NA to NA","NA to NA","1351 to 1329","1318 to 1269","1202 to 1182","NA to NA"
"Beta-316287",3370,30,"shcal20",0,0,"Aquatic moss","Moss","Yanou Lake","South Shetland Islands",-58.9599,-62.2207,"King George Island ","Fildes Peninsula ","Yanou Lake",3548,"3613 to 3611","3584 to 3546","3543 to 3486","NA to NA","NA to NA","3684 to 3666","3639 to 3482","3470 to 3458","NA to NA"
