L5_MAT1,Date of sampling: 19/11/2011,,,,,,,,,,,,,
Depth_cm,Depth_midpoint_cm,Dry_bulk_density_g/cm-³,210Pb_total_Bq_g-1,214Bi_supported_210Pb_Bq_g-1,214Pb_supported_210Pb_Bq_g-1,210Pb_unsupported_210Pb_Bq_g-1,137Cs_Bq_g-1,241Am_Bq_g-1,CRS_Age_years,CRS_age_Year_CE,Years_before_sampling_date_2011_CE,±10%_error_,Sediment_velocity_cm_J-1,DMAR_g_cm-1_J-1
0-2,1,0.3704,0.055,-,0.018,0.037,0.011,0,14,1998,13,1,0.139,0.0516
2-2.5,2.25,0.399,0.074,0.021,0.018,0.055,0,0,18,1994,17,2,0.131,0.0522
2.5-3,2.75,0.3753,0.047,-,0.018,0.029,0.004,0,23,1989,22,2,0.115,0.0432
3-3.5,3.25,0.3748,0.043,0.017,0.014,0.028,0,0,27,1985,26,3,0.105,0.0395
3.5-4,3.75,0.3736,0.039,0.019,0.019,0.02,0.012,0,31,1981,30,3,0.127,0.0474
4-4.5,4.25,0.3889,0.039,0.017,0.018,0.022,0.024,0,36,1976,35,4,0.098,0.0383
4.5-5,4.75,0.3617,0.033,0.015,0.015,0.018,0.036,0,41,1971,40,4,0.109,0.0392
5-5.5,5.25,0.3895,0.039,0.017,0.016,0.023,0.037,0,48,1964,47,5,0.067,0.026
5.5-6,5.75,0.3792,0.028,-,0.018,0.01,0.021,0,52,1960,51,5,0.129,0.0489
6-6.5,6.25,0.3532,0.029,0.015,0.016,0.014,0.012,0,58,1954,57,6,0.088,0.0312
6.5-7,6.75,0.3731,0.032,0.016,0.015,0.017,0.004,0,67,1945,66,7,0.054,0.0202
7-7.5,7.25,0.3732,0.032,0.02,0.019,0.013,0.004,0,76,1935,76,8,0.053,0.02
7.5-8,7.75,0.4103,0.028,0.016,0.015,0.013,0,0,91,1920,91,9,0.033,0.0137
8-8.5,8.25,0.3584,0.022,0.014,0.015,0.008,0,0,103,1908,103,10,0.042,0.0149
8.5-9,8.75,0.3562,0.026,0.016,0.015,0.011,0,0,136,1876,135,13,0.015,0.0055
9-9.5,9.25,0.3493,0.018,0.016,0.015,0.003,-,0,153,1859,152,15,0.03,0.0103
9.5-10,9.75,0.3114,0.022,0.017,0.019,0.004,-,0,-,-,-,-,-,-
