Continent,Country,Region,Location,Site_name,Feature,Latitude_(oS),Longitude_(oW),Elevation_(m_amsl),Dating_method,Material_dated,Strat._Depth_(cm),Interpretation,Reference_and_map_ID,Map_ID,Sample_ID,Measured_age_(14C_yr_BP_±_1σ),1s,,Oxcal_v4.4_SHCal20,from,to,%,from,to,%,μ,σ,m,Oxcal_v4.4_SHCal13,from,to,%,from,to,%,μ,σ,m
Antarctica,South Shetland Islands,King George Island , Fildes Peninsula_,FP_Hochlandsee,Freshwater lake,-62.1822,-58.9397,101,14C,Freshwater moss ,175-176,Minimum age for deglaciation,Mäusbacher 1991 ,11,HD11417-11148,5410,185,shcal20, R_Date HD11417-11148,6386,5931,68.3,6600,5725,95.4,6147,205,6147, R_Date HD11417-11148,6313,5926,68.3,6553,5724,95.4,6142,203,6141
Antarctica,South Shetland Islands,King George Island , Fildes Peninsula,FP_Hotel Lake,Freshwater lake,-62.1946,-58.9783,40,14C,Freshwater moss ,250-280,Age model construction,Tatur et al 1999b ,21,Lu-3680,4960,120,shcal20, R_Date Lu-3680,5890,5485,68.3,5925,5328,95.4,5676,143,5674, R_Date Lu-3680,5885,5485,68.3,5920,5327,95.4,5669,144,5669
Antarctica,South Shetland Islands,King George Island , Fildes Peninsula,FP_Gaoshan Lake,Freshwater lake,-62.2208,-58.9647,34.5,14C,Aquatic moss ,24,Age model construction,Watcham et al 2011 ,24,SUERC-18932,2215,37,shcal20, R_Date SUERC-18932,2303,2098,68.3,2329,2056,95.4,2194,81,2196, R_Date SUERC-18932,2304,2101,68.3,2316,2061,95.4,2198,72,2196
Antarctica,South Shetland Islands,King George Island , Fildes Peninsula,FP_Belén Lake,Freshwater lake,-62.2285,-58.982,19.9,14C,Living aquatic moss ,0,Age model construction,Watcham et al 2011 ,24,SUERC-18928,320,35,shcal20, R_Date SUERC-18928,440,298,68.3,453,158,95.4,366,59,378, R_Date SUERC-18928,440,300,68.3,454,284,95.4,369,57,380
Antarctica,South Shetland Islands,King George Island , Fildes Peninsula,FP_Belén Lake,Freshwater lake,-62.2285,-58.982,19.9,14C,Aquatic moss ,129,Minimum age for end of brackish conditions,Watcham et al 2011 ,24,SUERC-18931,4829,38,shcal20, R_Date SUERC-18931,5586,5479,68.3,5598,5331,95.4,5516,59,5521, R_Date SUERC-18931,5588,5475,68.3,5602,5331,95.4,5511,62,5517
Antarctica,South Shetland Islands,King George Island , Fildes Peninsula,FP_Kiteschee Lake,Freshwater lake,-62.1935,-58.9666,15,14C,Drepanocladus longifolius aquatic moss ,0-1,Surface living moss,Heredia-Barion et al. submitted a,,Beta-501582,-6,1,normal,,,,,,,,,,,,-6.1,-6.9,68.3,-5.2,-7.5,68.3,-6.3,0.6,-6.3
Antarctica,South Shetland Islands,King George Island , Fildes Peninsula,FP_Kiteschee Lake,Freshwater lake,-62.1935,-58.9666,15,14C,Drepanocladus longifolius aquatic moss ,0-1,Surface living moss,Heredia-Barion et al. submitted a,,Beta-516809,-7,1,normal,,,,,,,,,,,,-6.2,-7,68.3,-6.1,-7.5,68.3,-6.8,0.6,-6.8
Antarctica,South Shetland Islands,King George Island , Fildes Peninsula,FP_Lake Kitezh,Isolation basin,-62.1895,-58.9667,15.5,14C,Freshwater moss ,181-184,Minimum age of lake isolation,Mäusbacher et al 1989 ,12,HD11163-10998,6180,150,shcal20, R_Date HD11163-10998,7246,6804,68.3,7418,6668,95.4,7020,179,7023, R_Date HD11163-10998,7241,6804,68.3,7413,6668,95.4,7017,179,7021
Antarctica,South Shetland Islands,King George Island , Fildes Peninsula,FP_Long Lake,Isolation basin,-62.205,-58.9671,15,14C,Aquatic moss ,24,Age model construction,Watcham et al 2011 ,24,SUERC-18933,2087,37,shcal20, R_Date SUERC-18933,2055,1932,68.3,2101,1895,95.4,2006,55,2008, R_Date SUERC-18933,2059,1932,68.3,2145,1911,95.4,2010,56,2010
Antarctica,South Shetland Islands,King George Island , Fildes Peninsula,FP_Yanou Lake,Isolation basin,-62.2207,-58.9599,14.5,14C,Drepanocladus longifolius aquatic moss ,1.5-3,Surface living moss,Roberts et al 2017 ,15,SUERC-22325,-7,1,shcal20,,,,,,,,,,,,,,,-6.3,-7.8,68.3,-7.1,1.1,-7
Antarctica,South Shetland Islands,King George Island , Fildes Peninsula,FP_Yanou Lake,Isolation basin,-62.2207,-58.9599,14.5,14C,Drepanocladus longifolius aquatic moss ,5,Age model construction,Watcham et al 2011 ,24,SUERC-18934,907,37,shcal20, R_Date SUERC-18934,796,729,68.3,904,680,95.4,777,52,766, R_Date SUERC-18934,797,730,68.3,904,683,95.4,777,50,767
Antarctica,South Shetland Islands,King George Island , Fildes Peninsula,FP_Yanou Lake,Isolation basin,-62.2207,-58.9599,14.5,14C,Drepanocladus longifolius aquatic moss ,9.5,Age model construction,Roberts et al 2017 ,15,Beta-316286,1430,30,shcal20, R_Date Beta-316286,1312,1280,68.3,1352,1183,95.4,1293,34,1297, R_Date Beta-316286,1310,1280,68.3,1353,1270,95.4,1298,25,1298
